wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
5yPNNe3QGLFUt6VJzcAWixC5D3fqaJgyhHSTtEYZYxtv,928720.6872533086,100,0
619GttXV2q7DRjMQaVU96ydTc6u2hNCsT4HXaerAkoMe,1683724.001320568,255,0
63Q4Hh63mBGvFPGL3RcVxXZJWq2zDFqHjDzJitEwixDU,1903877.4088692826,205,0
69P48PNbaqpE45bLWokxzHWeXGiWG7dU7wBTop76HqKM,2274110.374427469,355,0
6DJLqoW23mJ8ayL6MD4ThdSEM7R6DWaScsyVABu85DmL,46081710.92502902,1255,34426266.3
6QeaREJcvRJrUhRj1JL5pqTSz7UBKdPNJDYUSJogZTR2,205,205,0
6UnyGRYyp78KGAyggCxP6RKA5BDiBmzjNAGeX3rJgBWJ,255,255,0
6WvsLLdrymfWrKFqfH1F4wUn8EinTd6Zkob99BDtLu66,759640.9,100,759540.9
6cz8LN148WKcKwUjnTBmVxGRrVYmL5324p7akgW5khH8,2276297.6499631302,355,0
6eDEG1gvBd5CATscwjUirmW7Coqmp9UJopHMDq9HwwZb,205,205,0
6fiPz5LDuiaz2uC5fhcKMSbFJGFu1LRaqfXJ63mqFtBk,10000255,255,10000000
6huxk9VXrUcNFJeZxomuEuyPgiiyCjZGkNfozej3Ps58,1857441.3745066172,200,0
6kzhkJCE2Qmd8DCfQDSVHZxH6o1p9aKjWw2rRT86ANcg,0,100,0
6qUfVTCMyrsg3dbUbNSTBcvCwNHK17uyjqn7sAv7TmWS,1409419.0443451358,205,0
6sDzB3JHH7ZXhAEzpXupXVEyfaxcVbJ5ZQZDb6Gasifu,928720.6872533086,100,0
6t7teGo3cfZsv6CkBMtUYB9ugBGeMdhPJY6H7yjDAM14,1935217.7913137274,305,0
6v5yP1EwtK1gRQBqTk8DaryqGykB5RD1NVFvZj7HD9MW,1938908.4898763548,305,0
6zAyqrwZkC4d1yU85iSHPFW1CARNASW3jQeYSv9812m,2368237.7524959366,255,0
76oevT14PE6oaPKgktFj9BthRrnFTtciVc2dZppMu2zd,1857441.3745066172,200,0
77aXHY29GYN922nH8NwZnbUQFCmWC7SJStPb9Wo2Bjae,3296958.439749245,355,0
786270741251624960,928720.6872533086,100,0
7CLp2CK9h11ckMMNFBjJJRgZQRfLZ4Pxg2uVNx1TvuU3,2269023.041769199,355,0
7EfSq6Cv5CdnRtdSYDXsTwkKBNYEgm8f2CKD8AjrBCsv,1207336.893429301,130,0
7FBHcHzX8HxznsRkEF5eg2wDo9tqaDJ4U7hHTSip9wuM,0,100,0
7KKiy8kTzvYMQipN5Ln44hPArymBks62WnQ9WeE5qngz,205,205,0
7SXHHktJ2mpExh7sBue2tZabZG1jdCSN6LG78SpHQvVR,205,205,0
7TH3WeYVjK4m6XnqwK6mT3vGKdDb7bTad6x6QPaBSXDZ,928720.6872533086,100,0
